sample_id,filename,duration,sample_rate,speaker_id,chapter_id,source_path
084,sample_084.wav,7.315,16000,777,126732,dev-clean/777/126732/777-126732-0070.flac
085,sample_085.wav,5.8599375,16000,777,126732,dev-clean/777/126732/777-126732-0064.flac
086,sample_086.wav,9.07,16000,777,126732,dev-clean/777/126732/777-126732-0036.flac
087,sample_087.wav,5.225,16000,777,126732,dev-clean/777/126732/777-126732-0065.flac
088,sample_088.wav,7.895,16000,777,126732,dev-clean/777/126732/777-126732-0060.flac
089,sample_089.wav,12.535,16000,777,126732,dev-clean/777/126732/777-126732-0016.flac
090,sample_090.wav,6.465,16000,777,126732,dev-clean/777/126732/777-126732-0030.flac
091,sample_091.wav,5.57,16000,777,126732,dev-clean/777/126732/777-126732-0042.flac
092,sample_092.wav,5.44,16000,777,126732,dev-clean/777/126732/777-126732-0037.flac
093,sample_093.wav,6.81,16000,777,126732,dev-clean/777/126732/777-126732-0050.flac
094,sample_094.wav,7.02,16000,777,126732,dev-clean/777/126732/777-126732-0023.flac
095,sample_095.wav,8.125,16000,777,126732,dev-clean/777/126732/777-126732-0047.flac
096,sample_096.wav,5.225,16000,777,126732,dev-clean/777/126732/777-126732-0058.flac
097,sample_097.wav,12.255,16000,777,126732,dev-clean/777/126732/777-126732-0007.flac
098,sample_098.wav,9.26,16000,777,126732,dev-clean/777/126732/777-126732-0056.flac
099,sample_099.wav,6.985,16000,422,122949,dev-clean/422/122949/422-122949-0004.flac
100,sample_100.wav,6.86,16000,422,122949,dev-clean/422/122949/422-122949-0031.flac
